href,is_exhibition
https://www.southbankcentre.co.uk/whats-on, 0
https://www.southbankcentre.co.uk/whats-on?type=art-exhibitions, 0
https://www.southbankcentre.co.uk/venues/hayward-gallery, 0
https://www.southbankcentre.co.uk/whats-on/classical-music/parliament-choir-beethovens-missa-solemnis?eventId=980040, 0
https://www.southbankcentre.co.uk/support-us/join/membership/gift-membership, 0
https://www.southbankcentre.co.uk/policies, 0
https://www.southbankcentre.co.uk/whats-on/courses-workshops/poetry-workshop-somatic-rituals-revision?eventId=983207, 0
https://www.southbankcentre.co.uk/whats-on/classical-music/kate-molleson-annea-lockwood-conversation?eventId=988526, 0
https://www.southbankcentre.co.uk/whats-on/performance-dance?type=performance-dance, 0
https://www.southbankcentre.co.uk/whats-on/gigs/nazar?eventId=990059, 0
https://www.southbankcentre.co.uk/whats-on/art-exhibitions/haegue-yang-leap-year?eventId=983677, 1
https://www.southbankcentre.co.uk/whats-on/art-exhibitions/naomi-rincon-gallardo-conversation?eventId=997381, 1
https://www.southbankcentre.co.uk/whats-on/art-exhibitions/jeppe-heins-appearing-rooms?eventId=996036, 1
https://www.southbankcentre.co.uk/whats-on/art-exhibitions/suzie-larke-unseen?eventId=988682, 1
https://www.southbankcentre.co.uk/whats-on/art-exhibitions/naomi-rincon-gallardo-sonnet-vermin?eventId=986076, 1
https://www.southbankcentre.co.uk/whats-on/art-exhibitions/tavares-strachan-exhibition-panel-discussion?eventId=984566, 1
https://www.southbankcentre.co.uk/whats-on/art-exhibitions/klaus-weber-thinking-fountains?eventId=984441, 1
https://www.southbankcentre.co.uk/whats-on/art-exhibitions/unlimited-screen?eventId=991432, 1
https://www.southbankcentre.co.uk/whats-on/art-exhibitions/you-belong-here-public-art?eventId=992463, 1
https://www.lissongallery.com/exhibitions, 0
https://www.lissongallery.com/news/susan-hiller-dedicated-to-the-unknown-at-museo-de-arte-contemporaneo-helga-de-alvear-caceres-spain, 0
https://www.lissongallery.com/artists/ceal-floyer, 0
https://www.lissongallery.com/studio, 0
https://www.lissongallery.com/exhibitions/year/1979, 0
https://www.lissongallery.com/exhibitions/year/2011, 0
https://www.lissongallery.com/exhibitions/year/2012, 0
https://www.lissongallery.com/exhibitions/year/2013, 0
https://www.lissongallery.com/exhibitions/year/2017, 0
https://www.lissongallery.com/exhibitions/year/2017, 0
https://www.lissongallery.com/exhibitions/year/2017, 0
https://www.lissongallery.com/exhibitions/otobong-nkanga, 1
https://www.lissongallery.com/exhibitions/jack-pierson-e242364a-7fd3-4156-860d-2ed7f06d7ff5, 1
https://www.lissongallery.com/exhibitions/john-latham-spray-paintings, 1
https://www.lissongallery.com/exhibitions/where-were-you, 1
https://www.lissongallery.com/exhibitions/ryan-gander-the-fallout-of-living, 1
https://www.lissongallery.com/exhibitions/gerard-byrne, 1
https://www.lissongallery.com/exhibitions/richard-wentworth, 1
https://www.lissongallery.com/exhibitions/anish-kapoor, 1
https://www.lissongallery.com/exhibitions/christine-borland, 1
https://www.lissongallery.com/exhibitions/a-shot-in-the-head, 1
https://www.tate.org.uk/whats-on, 0
https://www.tate.org.uk/visit, 0
https://www.tate.org.uk/whats-on?date_range=from_now&event_type=exhibition&gallery_group=tate-britain&gallery_group=tate-modern, 0
https://www.tate.org.uk/art, 0
https://www.tate.org.uk/search?type=artwork, 0
https://www.tate.org.uk/search?type=event&time=current, 0
https://www.tate.org.uk/whats-on/barbara-hepworth-museum-and-sculpture-garden/sculpture-workshop-schools, 0
https://www.tate.org.uk/join-support/tate-patrons, 0
https://www.tate.org.uk/kids, 0
https://www.tate.org.uk/tate-collective, 0
https://www.tate.org.uk/whats-on/tate-modern/yoko-ono, 1
https://www.tate.org.uk/whats-on/tate-britain/zeinab-saleh, 1
https://www.tate.org.uk/whats-on/tate-britain/sargent-and-fashion, 1
https://www.tate.org.uk/whats-on/tate-modern/zanele-muholi, 1
https://www.tate.org.uk/whats-on/tate-modern/mire-lee, 1
https://www.tate.org.uk/whats-on/tate-britain/ed-atkins, 1
https://www.tate.org.uk/whats-on/tate-britain/the-80s-photographing-britain, 1
https://www.tate.org.uk/whats-on/tate-britain/chris-ofili-requiem, 1
